product_name,aisle_id
Italian Pasta Salad,1
Turkey Chili,1
Whole Grain Salad with Roasted Pecans & Mango Vinaigrette,1
Mediterranean Orzo Salad,1
Original Potato Salad,1
Broccoli Salad,1
Moms Macaroni Salad,1
Chopped Salad Bowl Italian Salad with Salami & Turkey,1
American Potato Salad,1
Mushroom Barley Soup,1
Smoked Whitefish Salad,1
Chicken Curry Salad,1
"Soup, Golden Quinoa and Kale",1
Split Pea Soup,1
Organic Tomato Bisque,1
Organic Spinach Pow Salad,1
San Francisco Potato Salad,1
Quinoa Salad Pistachio Citrus,1
Broccoli with Almond Soup,1
Butternut Squash Cumin Soup,1
Rotisserie Chicken Salad,1
Cucumber Salad,1
Chickpea Salad,1
"Salad, Baby Spinach & Chicken",1
Caprese Salad,1
Ready Pac Salad Santa Fe Caesar Bowls,1
Tarragon Chicken Salad,1
Loaded Potato Salad,1
Soba Noodles With Sesame Almond Sauce,1
Low-Fat Chicken Tortilla Soup,1
Cobb Salad,1
Blackened Chicken Salad,1
Bistro Organic Caesar Salad Bowl with Chicken,1
Soup Chicken Tortilla,1
Chicken Ceasar Wrap,1
Classic Potato Salad,1
Lobster Bisque,1
American Classics Macaroni Salad,1
Mediterranean Lentil Salad,1
Asian Slaw,1
Thai Veggie Chicken,1
Chili,1
Organic Minestrone Soup,1
"Quinoa, Kale & Red Lentil Soup",1
Minestrone Soup,1
Potato Pancakes,1
Chinese Chicken Salad,1
Albacore Tuna Salad,1
Broccoli Cheddar Soup,1
Chunky Chicken Noodle Soup,1
Pimento Cheese Spread,1
Greek Orzo Salad,1
Cut Hearts Of Palm,1
Cauliflower Gratin,1
Petite Caesar Salad,1
Old Fashioned Potato Salad,1
Chicken Noodle Soup,1
Gazpacho Verde Chilled Vegetable Soup,1
Kale White Bean Salad,1
Pesto Pasta Salad,1
Carrot Pistachio & Tarragon Soup,1
Chicken Tortilla Soup,1
Spicy Homestyle Guacamole,1
Carrot Ginger With Coconut Soup,1
Classic Chicken Salad,1
Chilled Gazpacho De Sol Vegetable Soup,1
Edamame,1
Santa Fe Fiesta Salad,1
Tuna Salad,1
Chicken Caesar Salad,1
Chicken Salad,1
New England Clam Chowder,1
Macaroni Salad,1
Le Petite Fromage Garden Salsa Spreadable Cheese,1
Greek Salad,1
Tabouli,1
Asian Noodle Salad,1
Carrot Ginger Soup,1
Tuscan Kale & Quinoa Salad,1
Salad Bar,1
Chop Chipotle Chedder Kit,1
Red Skin Potato Salad,1
Organic Cook Me Mixed Vegetables,1
Southwest Couscous Salad,1
Garden Vegetable Soup,1
Detox Salad,1
Cobb Salad With Chicken & Bacon,1
Jamaican Jerk Hemp Seed Salad,1
Sesame Noodle Salad,1
Lentil Salad,1
Sunflower Crisp Chopped Salad,1
Organic Cranberry Winter Salad,1
Zen Salad,1
Clam Chowder,1
Chef Salad,1
Red Lentil Dahl Soup,1
Potato Salad,1
Chopped Southwest Salad With Dressing,1
Tabouli Salad,1
Organic Add Me Kale Blend Bagged Salad,1
Raw Carrot Soup,1
Wild Rice Edamame Salad,1
Zucchini Soup,1
Sesame Miso Chopped Salad,1
Caesar Salad,1
Mustard Potato Salad,1
Butternut Squash Soup,1
Roasted Tomato Basil Soup,1
Chopped Bbq Seasoned Ranch Chicken Salad Bowl,1
Tomato Basil Bisque,1
The Vegan Caesar,1
BBQ Chopped Salad,1
Gatherings Turkey & Cheese Snack Tray,1
Curry Cauliflower Soup,1
Organic Caesar Salad,1
Miso Soup,1
Vegan Pesto Pasta,1
Organic Black Bean Soup,1
Bacon Bleu Wedge Chopped Salad,1
Spinach Dijon Salad,1
Deviled Egg Potato Salad,1
Homestyle Potato Salad,1
Sesame Pasta Salad,1
Three Bean Salad,1
Tomato Basil Soup,1
Quinoa Salad,1
Garden Minestrone Soup,1
Organic Southwest Salad,1
Egg Salad,1
Tomato Bisque,1
Organic Classic Gazpacho Chilled Vegetable Soup,1
Classic Macaroni Salad,1
Super Grains Tabbouleh,1
Mini Falafel With Tahini Sauce,1
Quinoa Salad Tomato Pine Nut,1
Picnic Potato Salad,1
Curried Tofu,1
Pasta Salad,1
Fresh Fruit Salad,1
Autumn Squash Soup,1
Black Bean Salad,1
Butternut Squash Bisque,1
Deli Fresh Coleslaw,1
Red Potato Salad,1
