Aisle ID,Zone ID,Zone ID alternatives,Product family
1,27,,prepared soups salads
2,83,"38, 39, 82, 83",specialty cheeses
3,19,"19, 94",energy granola bars
4,29,"29, 95",instant foods
5,24,"24, 25, 26",marinades meat preparation
6,74,"74, 88, 91, 92",other
7,32,,packaged meat
8,51,,bakery desserts
9,14,"14, 30",pasta sauce
10,61,,kitchen supplies
11,88,"74, 88, 91, 92",cold flu allergy
12,95,"29, 95",fresh pasta
13,12,,prepared meals
14,54,,tofu meat alternatives
15,54,"54, 56",packaged seafood
16,3,"3, 4, 5",fresh herbs
17,18,"18, 24, 25, 26, 27",baking ingredients
18,20,"20, 95",bulk dried fruits vegetables
19,27,,oils vinegars
20,87,"87, 90, 91, 92",oral hygiene
21,38,"38, 39, 82, 83",packaged cheese
22,90,"87, 90, 91, 92",hair care
23,62,"62, 63, 63, 92",popcorn jerky
24,4,"2, 4",fresh fruits
25,91,"87, 90, 91, 92",soap
26,50,,coffee
27,62,"62, 63, 93",beers coolers
28,28,"28, 29",red wines
29,24,"18, 24, 25, 26, 27",honeys syrups nectars
30,25,"24, 25, 26",latino foods
31,52,"52, 53, 94",refrigerated
32,4,"2, 4",packaged produce
33,30,,kosher foods
34,31,"31, 35",frozen meat seafood
35,35,"31, 35",poultry counter
36,39,"38, 39, 82, 83",butter
37,58,"58, 93",ice cream ice
38,35,"31, 35",frozen meals
39,56,"54, 56",seafood counter
40,60,"60, 65, 66, 67",dog food care
41,65,"60, 65, 66, 67",cat food care
42,55,"55, 56",frozen vegan vegetarian
43,52,"52, 53, 61, 93",buns rolls
44,91,"74, 88, 91, 92",eye ear care
45,94,"19, 94",candy chocolate
46,60,"60, 91, 92",mint gum
47,92,"74, 88, 91, 92",vitamins supplements
48,94,"19, 94",breakfast bars pastries
49,35,"31, 35",packaged poultry
50,64,"62, 63, 63, 92",fruit vegetable snacks
51,25,"24, 25, 26",preserved dips spreads
52,8,"8, 10",frozen breakfast
53,83,"38, 39, 82, 83",cream
54,37,"37, 77",paper goods
55,92,"87, 90, 91, 92",shave needs
56,71,"71, 72",diapers wipes
57,94,"19, 94",granola
58,52,"52, 53, 73",frozen breads doughs
59,43,"43, 47",canned meals beans
60,68,,trash bags liners
61,18,"18, 44, 45, 46, 47, 93",cookies cakes
62,29,"28, 29",white wines
63,42,,grains rice dried goods
64,53,"52, 53, 94",energy sports drinks
65,49,,protein meal replacements
66,25,"24, 25, 26",asian foods
67,26,"24, 25, 26",fresh dips tapenades
68,42,,bulk grains rice dried goods
69,44,"44, 71",soup broth bouillon
70,91,"74, 88, 91, 92",digestion
71,25,,refrigerated pudding desserts
72,26,"24, 25, 26",condiments
73,86,,facial care
74,78,"78, 79",dish detergents
75,78,"78, 79",laundry
76,26,"24, 25, 26",indian foods
77,53,"52, 53, 94",soft drinks
78,44,"18, 44, 45, 46, 47, 93",crackers
79,55,"55, 56",frozen pizza
80,86,,deodorants
81,54,,canned jarred vegetables
82,72,"71, 72",baby accessories
83,4,"3, 4, 5",fresh vegetables
84,38,,milk
85,68,,food storage
86,36,,eggs
87,69,"69, 70",more household
88,48,"48, 61",spreads
89,16,"16, 26, 46, 95",salad dressing toppings
90,49,,cocoa drink mixes
91,51,,soy lactosefree
92,71,,baby food formula
93,53,"52, 53, 73",breakfast bakery
94,49,,tea
95,35,"31, 35",canned meat seafood
96,13,"13, 15",lunch meat
97,27,"18, 24, 25, 26, 27",baking supplies decor
98,36,,juice nectars
99,26,"26, 48",canned fruit applesauce
100,58,"58, 93",missing
101,91,"87, 90, 91, 92",air fresheners candles
102,86,,baby bath body care
103,58,"56, 58, 59, 60",ice cream toppings
104,26,"16, 26, 46, 95",spices seasonings
105,26,"18, 24, 25, 26, 27",doughs gelatins bake mixes
106,56,"54, 56",hot dogs bacon sausage
107,64,"62, 63, 64, 92",chips pretzels
108,82,"38, 39, 82, 83",other creams cheeses
109,55,"84, 85, 86, 87, 88",skin care
110,24,,pickled goods olives
111,69,"69, 94",plates bowls cups flatware
112,61,"52, 53, 61, 93",bread
113,36,,frozen juice
114,79,"78, 79",cleaning products
115,23,"23, 40",water seltzer sparkling water
116,54,,frozen produce
117,64,"62, 63, 64, 92",nuts seeds dried fruit
118,88,"74, 88, 91, 92",first aid
119,51,,frozen dessert
120,81,,yogurt
121,49,"49, 50, 94",cereal
122,32,,meat counter
123,54,,packaged vegetables fruits
124,42,"42, 43",spirits
125,92,"62, 63, 64, 92",trail mix snack mix
126,72,,feminine care
127,72,,body lotions soap
128,61,,tortillas flat bread
129,52,"52, 53",frozen appetizers sides
130,27,"18, 24, 25, 26, 27",hot cereal pancake mixes
131,30,,dry pasta
132,86,,beauty
133,92,"74, 88, 91, 92",muscles joints pain relief
134,29,"28, 29",specialty wines champagnes
