Aisle ID,Product family,Items considered,Avg length (in),SD of length (in),Max length (in),Min length (in),Avg width  (in),SD of width (in),Max width (in),Min width (in),Avg height (in),SD of height (in),Max height (in),Min height (in),Avg weight (lbs),SD of weight (lbs),Max weight (lbs),Min weight (lbs),Avg price (USD),SD of price (USD),Max price (USD),Min price (USD)
1,Prepared soups salads,281,5.324519573,2.999182603,17.2,1.18,4.553202847,1.779734849,9.25,0.65,4.63544484,1.979053137,9.5,0.5,1.136450178,0.9555740540000001,5.0,0.0175,9.307921347999999,5.509958284,32.99,1.5
2,Specialty cheeses,284,8.04084507,4.202597967,20.0,1.11,6.096725352000001,3.396043767,20.0,0.33,3.19306338,2.6646648930000003,18.0,0.5,1.16234375,2.361526925,22.0,0.000625,32.55125,52.1043238,360.0,2.79
3,Energy granola bars,325,6.675507692,4.44670444,17.2,0.79,6.185353846,1.89177352,12.0,1.0,5.124030769,2.495219392,11.63,0.7,1.415965385,1.350475866,6.24,0.009375,27.20288136,19.0609346,64.99,4.16
4,Instant foods,322,9.047795031,4.746038497,33.37,1.1,6.477018633999999,3.2831901410000004,33.37,1.3,5.808167702,2.89160188,33.37,0.1,1.914821429,3.58150005,23.13,0.000625,19.88550459,19.71650495,92.94,1.35
5,Marinades meat preparation,135,7.312888889,3.111781384,16.34,1.0,5.204,2.458647304,12.0,0.31,4.604148148,2.490235374,16.5,0.7,1.849166667,1.8688782430000002,8.42,0.000625,19.95491228,20.72809387,159.49,5.4
6,Other,5,7.8839999999999995,1.7941794780000002,9.96,5.12,4.756,2.654972693,8.0,2.48,4.0,2.653337521,8.12,1.5,2.2119999999999997,2.728455607,6.85,0.26,8.166,3.189926331,12.73,4.13
7,Packaged meat,309,10.83647249,24.16169713,196.85,0.4,9.232330097,24.24759959,196.85,0.33,7.389449837999999,24.46868087,196.85,0.01,1.246792071,1.790208223,11.25,0.00375,13.62227941,10.89549128,59.99,1.59
8,Bakery desserts,210,8.35552381,3.1733028030000003,19.0,1.5,6.923190476,2.262816091,14.0,1.58,3.1357142860000002,1.5737961040000001,10.63,1.06,0.974203431,0.6774354109999999,4.45,0.19,13.71642857,11.77100368,45.95,3.99
9,Pasta sauce,346,7.092976879,4.211541435,16.45,0.1,5.51699422,2.850265421,13.54,0.1,5.271445087,1.7556106969999998,9.45,0.1,2.9077673410000004,3.108419865,20.75,0.03,11.96100503,11.02532855,65.99,1.79
10,Kitchen supplies,19,9.938421052999999,6.618529766,17.6,0.41,6.839473684,4.645594656,15.0,0.24,7.725789474,8.942709207,28.0,0.04,7.226480262999999,10.77012605,35.0,0.24,276.6175,384.7969353,899.0,14.99
11,Cold flu allergy,200,3.4967,1.7225174719999998,9.96,0.23,2.88755,1.474123365,8.58,0.35,3.7687,1.624270168,7.4,0.49,0.2827,0.402252919,2.5,0.000625,26.53181818,30.07844717,169.99,6.75
12,Fresh pasta,179,7.709944134,3.9888257539999996,20.0,1.0,5.37877095,2.565875379,12.13,1.0,4.607318436,3.064771664,12.25,0.6,1.161009078,1.8626246569999998,20.99,0.000625,8.714539474,7.074155634,69.61,2.53
13,Prepared meals,139,6.910359712000001,3.186172209,19.57,0.39,5.953669065,1.940330968,11.78,0.39,4.490935252,2.694912516,14.75,0.5,1.460350719,1.541122458,8.88,0.000625,12.42680851,10.61351028,59.99,2.85
14,Tofu meat alternatives,162,8.080925926,3.79229749,37.8,1.38,5.746851852000001,3.1730852730000003,33.07,0.4,3.709876543,5.3235667289999995,66.14,0.1,0.9233912040000001,1.018447862,10.0,0.044375,14.42367925,12.43923212,49.08,3.14
15,Packaged seafood,160,12.554625,25.89270473,196.85,0.5,10.293625,26.05718135,196.85,0.39,8.099125,26.27968633,196.85,0.38,1.480484375,3.14944259,25.28,0.000625,72.37,104.6341819,680.0,1.44
16,Fresh herbs,65,7.065230768999999,4.49134623,32.0,1.5,5.171692308,5.875745848999999,45.0,1.18,3.112769231,3.434552149,20.0,0.51,0.365230769,0.739666603,4.12,0.01,7.9916666670000005,9.796429079,53.95,2.69
17,Baking ingredients,103,5.361165048999999,3.076727731,12.87,0.39,4.027961165,2.337910228,10.79,0.2,4.09223301,2.65489224,13.0,0.28,1.004120146,1.1348041629999999,5.72,0.02,16.30047619,9.827053717,48.29,5.32
18,Bulk dried fruits vegetables,102,9.366666667,2.9778237560000003,16.85,2.0,6.728823529,2.6993891110000003,12.91,0.01,4.224117647,2.7522089610000005,15.0,1.0,1.5286213240000002,1.8176447219999998,8.3,0.000625,32.77645161,37.52527109,149.99,4.39
19,Oils vinegars,39,8.551025641,4.531330579,17.6,1.5,5.8043589739999994,3.270580018,15.24,1.5,4.664871795,2.263384601,8.5,1.5,2.55875,1.874691488,6.9,0.5,32.069375,16.07038745,69.99,4.49
20,Oral hygiene,118,6.181864407000001,2.8240390389999996,11.0,0.79,3.2628813560000003,1.82619688,8.9,0.4,2.980932203,2.907344072,11.6,0.39,0.508898305,0.775845682,4.92,0.00625,21.52309091,18.96278508,79.97,3.99
21,Packaged cheese,98,6.566122449,3.703693791,15.25,1.0,5.424081632999999,2.7966315660000003,14.88,1.0,4.893673468999999,2.94865001,12.5,0.85,0.869311224,1.095739374,4.76,0.000625,10.29705882,11.67659274,50.0,1.24
22,Hair care,135,4.521925926000001,3.00753891,12.44,0.1,3.039185185,1.9686005530000001,10.19,0.1,4.039777778,2.735638065,14.4,0.1,0.619115741,0.699121785,4.82,0.000625,20.46148936,17.11128511,98.5,6.99
23,Popcorn jerky,87,9.942988506,7.520209688,33.37,0.39,7.926206897,7.242815725,33.37,0.39,6.266206897000001,8.150149127,33.37,0.5,0.629188218,0.720447182,5.8,0.05,21.4295,17.95312272,54.99,2.92
24,Fresh fruits,129,7.604728682,4.129262585,17.0,1.0,6.130775194,3.2981390619999997,17.0,1.0,4.521395349,3.581359672,17.0,1.0,2.423517442,3.841245781,20.0,0.000625,19.70494118,20.56601228,69.99,2.5
25,Soap,92,6.464782608999999,2.90370755,13.5,2.0,4.263804348,2.065773858,9.92,0.9,5.1186956519999995,2.5352166680000003,11.0,1.0,2.429599185,2.063559773,11.86,0.039375,19.18722222,15.74973867,65.95,2.99
26,Coffee,91,7.479120879,3.634617708,18.1,1.0,6.139010989,2.857966665,12.52,1.0,6.113296703,2.708368945,14.96,0.11,1.866758242,1.997406895,12.0,0.000625,32.26894737,21.64160959,78.95,12.95
