Aisle ID,Product Description,Price,Net Weight,Other Info,Length (in),Width (in),Height (in),Weight,weight_unit,weight_in_pounds
1,StarKist Lunch To-Go Albacore Mix Your Own Tuna Salad - 4.41 Ounce (Pouch) - (Pack of 12),"$32.64        
        ($2.72 /  Count)",2.6 Ounces,"{'Package Dimensions': '11.34 x 8.07 x 7.64 inches2.6 Ounces', 'Item model number': '495420', 'Manufacturer': 'StarKist', 'ASIN': 'B000CR1VYU', 'Country of Origin': 'USA', 'Domestic Shipping': 'Currentlyitem can be shipped only within the U.S. and to APO/FPO addresses. For APO/FPO shipmentsplease check with the manufacturer regarding warranty and support issues.', 'International Shipping': 'This item is not eligible for international shipping.  Learn More'}",11.34,8.07,7.64,2.6,Ounces,0.1625
1,"Whole Foods Market, Minestrone Soup, 24 Ounce",8.49,1.5 Pounds,"{'Product Dimensions': '4.65 x 4.55 x 4.4 inches1.5 Pounds', 'Item model number': '0099482502065', 'UPC': '099482502065', 'Manufacturer': '365 by Whole Foods Market', 'ASIN': 'B088546RH9'}",4.65,4.55,4.4,1.5,Pounds,1.5
1,"Whole Foods Market, Mom's Chicken Soup, 24 Ounce",8.49,1.5 Pounds,"{'Package Dimensions': '4.6 x 4.55 x 4.4 inches1.5 Pounds', 'Item model number': '0099482501907', 'UPC': '099482501907', 'Manufacturer': 'Whole Foods Market', 'ASIN': 'B0884P2JXQ'}",4.6,4.55,4.4,1.5,Pounds,1.5
1,"Rao's Homemade Chicken Noodle Soup, 16oz, Real Vegetables, Traditional Italian Heat and Serve Soup",5.49,Not Available,"{'Product Dimensions': '9.5 x 6.1 x 6 inches1 Pounds', 'UPC': '747479400060', 'Manufacturer': 'Raoâ€™s Specialty Foods', 'ASIN': 'B07Y46JQKZ'}",9.5,6.1,6,1,Pounds,1
1,"Whole Foods Market, Chicken Tortilla Soup, 24 Ounce",8.49,1.5 Pounds,"{'Package Dimensions': '4.61 x 4.61 x 4.5 inches1.5 Pounds', 'UPC': '099482502041', 'Manufacturer': 'Whole Foods Market', 'ASIN': 'B089PLZ98B'}",4.61,4.61,4.5,1.5,Pounds,1.5
1,"Imagine Organic Creamy Soup, Broccoli, 32 Oz",5.29,Not Available,"{'Product Dimensions': '7.6 x 3.7 x 2.3 inches2 Pounds', 'Item model number': 'M94040', 'UPC': '084253240406', 'Manufacturer': 'Hain Celestial', 'ASIN': 'B004SIA1MM'}",7.6,3.7,2.3,2,Pounds,2
1,"Dr. McDougall's Soup, Vegan Chicken Noodle, 1.8 oz",4.95,1.8 Ounces,"{'Product Dimensions': '1.54 x 1.54 x 1.57 inches1.8 Ounces', 'Item model number': '767335011179', 'Department': 'unisex-adult', 'UPC': '767335011179', 'Manufacturer': ""Dr. McDougall's"", 'ASIN': 'B005MK9TS2'}",1.54,1.54,1.57,1.8,Ounces,0.1125
1,"Whole Foods Market, Turkey & Wild Rice Soup, 24 Ounce",8.49,24 Ounces,"{'Package Dimensions': '4.61 x 4.61 x 4.5 inches1.5 Pounds', 'Item model number': '0099482501983', 'UPC': '099482501983', 'Manufacturer': 'Whole Foods Market', 'ASIN': 'B089PMDGR3'}",4.61,4.61,4.5,1.5,Pounds,1.5
1,"Edward & Sons Organic Traditional Soup with Tofu Miso Cup Instant Soup, 1.3 oz",7.82,Not Available,"{'Is Discontinued By Manufacturer': 'No', 'Product Dimensions': '1.18 x 6.94 x 4.68 inches1.3 Ounces', 'Item model number': '23580', 'UPC': '043182000925', 'Manufacturer': 'Edward & Sons', 'ASIN': 'B004SIALKE'}",1.18,6.94,4.68,1.3,Ounces,0.08125
1,"Whole Foods Market, Split Pea Soup, 24 Ounce",8.49,Not Available,"{'Product Dimensions': '4.6 x 4.6 x 4.4 inches1.5 Pounds', 'Item model number': '0099482502140', 'UPC': '099482502140', 'Manufacturer': '365 by Whole Foods Market', 'ASIN': 'B08852TNND'}",4.6,4.6,4.4,1.5,Pounds,1.5
1,"Frontier Soups Homemade In Minutes Soup Mix, Connecticut Cottage Chicken Noodle, 4.25 oz",10.99,Not Available,"{'Is Discontinued By Manufacturer': 'No', 'Product Dimensions': '7.2 x 5.2 x 1.8 inches4.5 Ounces', 'Item model number': '212824', 'UPC': '766694301167 766789639861', 'Manufacturer': 'Frontier Soups', 'ASIN': 'B002HQOVO6'}",7.2,5.2,1.8,4.5,Ounces,0.28125
1,"Whole Foods Market, Italian Wedding Soup, 24 Ounce",8.49,1.5 Pounds,"{'Package Dimensions': '4.65 x 4.6 x 4.4 inches1.5 Pounds', 'Item model number': '0099482502188', 'UPC': '099482502188', 'Manufacturer': 'Whole Foods Market', 'ASIN': 'B0884XC6W5'}",4.65,4.6,4.4,1.5,Pounds,1.5
